,Product Name,Review,Avg Rating,Price,Link,Cleaned,sentiment
0,"pTron Bassbuds Air 140318669 TWS Earbuds with Passive Noise Cancellation (IPX4 Water Resistant, Touch Control, Black)","Received wrong product please replace my order
",3.7,599.0,https://www.croma.com/ptron-bassbuds-air-140318669-tws-earbuds-with-passive-noise-cancellation-ipx4-water-resistant-touch-control-black-/p/272061,Received wrong product please replace order,-0.5
1,"pTron Bassbuds Air 140318669 TWS Earbuds with Passive Noise Cancellation (IPX4 Water Resistant, Touch Control, Black)","According to the price, these earbuds are of very good quality, sound quality and battery backup is very good",3.7,599.0,https://www.croma.com/ptron-bassbuds-air-140318669-tws-earbuds-with-passive-noise-cancellation-ipx4-water-resistant-touch-control-black-/p/272061,According price  earbuds good quality  sound quality battery backup good,0.6
2,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Voice quality is bad. Noise cancellation not available,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Voice quality bad  Noise cancellation available,-0.1499999999999999
3,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Good product,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Good product,0.7
4,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Very nice product,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,nice product,0.6
5,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Good. Tiny design,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Good  Tiny design,0.35
6,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Good ,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Good,0.7
7,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Excellent work,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,Excellent work,1.0
8,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Good.,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,Good ,0.7
9,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Awesome experience,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,Awesome experience,1.0
10,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Good ,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,Good,0.7
11,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Very good,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,good,0.7
12,"pTron Bassbuds Air 140318670 TWS Earbuds with Passive Noise Cancellation (IPX4 Water Resistant, Touch Control, Blue)",Sound quality is too low as compared to others tws earbuds and not comfortable to ears for long time uses,1.5,799.0,https://www.croma.com/ptron-bassbuds-air-140318670-tws-earbuds-with-passive-noise-cancellation-ipx4-water-resistant-touch-control-blue-/p/272062,Sound quality low compared others tws earbuds comfortable ears long time uses,0.1875
13,"pTron Bassbuds Air 140318670 TWS Earbuds with Passive Noise Cancellation (IPX4 Water Resistant, Touch Control, Blue)",Not play YouTube audio,1.5,799.0,https://www.croma.com/ptron-bassbuds-air-140318670-tws-earbuds-with-passive-noise-cancellation-ipx4-water-resistant-touch-control-blue-/p/272062,play YouTube audio,0.0
14,"realme Air 3 Neo RMA2113 Earbuds with AI Environmental Noise Cancellation (IPX5 Water Resistant, Bluetooth Connectivity, Starry Blue)",Absolutely 100% yes for under 2k tws. Sound quality is amazing. Connectivity is so fast. After searching 100s of videos on amazon I bought this from Croma.,4.7,1999.0,https://www.croma.com/realme-air-3-neo-rma2113-earbuds-with-ai-environmental-noise-cancellation-ipx5-water-resistant-bluetooth-connectivity-starry-blue-/p/261150,Absolutely yes k tws  Sound quality amazing  Connectivity fast  searching videos amazon bought Croma ,0.35000000000000003
15,"realme Air 3 Neo RMA2113 Earbuds with AI Environmental Noise Cancellation (IPX5 Water Resistant, Bluetooth Connectivity, Starry Blue)",Excellent,4.7,1999.0,https://www.croma.com/realme-air-3-neo-rma2113-earbuds-with-ai-environmental-noise-cancellation-ipx5-water-resistant-bluetooth-connectivity-starry-blue-/p/261150,Excellent,1.0
16,"realme Air 3 Neo RMA2113 Earbuds with AI Environmental Noise Cancellation (IPX5 Water Resistant, Bluetooth Connectivity, Starry Blue)",Good,4.7,1999.0,https://www.croma.com/realme-air-3-neo-rma2113-earbuds-with-ai-environmental-noise-cancellation-ipx5-water-resistant-bluetooth-connectivity-starry-blue-/p/261150,Good,0.7
17,"realme Air 3 Neo RMA2113 Earbuds with AI Environmental Noise Cancellation (IPX5 Water Resistant, Bluetooth Connectivity, Starry Blue)","The product, service and the behavior was outstanding. Fully satisfied. Thanks to TATA and its enterprise Croma",4.7,1999.0,https://www.croma.com/realme-air-3-neo-rma2113-earbuds-with-ai-environmental-noise-cancellation-ipx5-water-resistant-bluetooth-connectivity-starry-blue-/p/261150,product  service behavior outstanding  Fully satisfied  Thanks TATA enterprise Croma,0.39999999999999997
18,"realme Air 3 Neo RMA2113 Earbuds with AI Environmental Noise Cancellation (IPX5 Water Resistant, Bluetooth Connectivity, Starry Blue)",Very good,4.7,1999.0,https://www.croma.com/realme-air-3-neo-rma2113-earbuds-with-ai-environmental-noise-cancellation-ipx5-water-resistant-bluetooth-connectivity-starry-blue-/p/261150,good,0.7
19,"boAt Airdopes 163 TWS Earbuds (IPX5 Water Resistant, IWP Technology, Active Black)",Nice product,4.6,1299.0,https://www.croma.com/boat-airdopes-163-tws-earbuds-ipx5-water-resistant-iwp-technology-active-black-/p/262620,Nice product,0.6
20,"boAt Airdopes 163 TWS Earbuds (IPX5 Water Resistant, IWP Technology, Active Black)",It was great experience,4.6,1299.0,https://www.croma.com/boat-airdopes-163-tws-earbuds-ipx5-water-resistant-iwp-technology-active-black-/p/262620,great experience,0.8
21,"boAt Airdopes 163 TWS Earbuds (IPX5 Water Resistant, IWP Technology, Active Black)",It was a nice experience ,4.6,1299.0,https://www.croma.com/boat-airdopes-163-tws-earbuds-ipx5-water-resistant-iwp-technology-active-black-/p/262620,nice experience,0.6
22,"boAt Airdopes 163 TWS Earbuds (IPX5 Water Resistant, IWP Technology, Active Black)",Product was too good,4.6,1299.0,https://www.croma.com/boat-airdopes-163-tws-earbuds-ipx5-water-resistant-iwp-technology-active-black-/p/262620,Product good,0.7
23,"boAt Airdopes 163 TWS Earbuds (IPX5 Water Resistant, IWP Technology, Active Black)",Good ,4.6,1299.0,https://www.croma.com/boat-airdopes-163-tws-earbuds-ipx5-water-resistant-iwp-technology-active-black-/p/262620,Good,0.7
24,"Noise Buds Smart AUD-HDPHN-BUDSSMAR TWS Earbuds (IPX5 Water Resistant, 18 Hours Playback, Jet Black)",Product is good,4.1,899.0,https://www.croma.com/noise-buds-smart-aud-hdphn-budssmar-tws-earbuds-ipx5-water-resistant-18-hours-playback-jet-black-/p/246138,Product good,0.7
