,Product Name,Review,Avg Rating,Price,Link,Cleaned
0,"pTron Bassbuds Air 140318669 TWS Earbuds with Passive Noise Cancellation (IPX4 Water Resistant, Touch Control, Black)","Received wrong product please replace my order
",3.7,599.0,https://www.croma.com/ptron-bassbuds-air-140318669-tws-earbuds-with-passive-noise-cancellation-ipx4-water-resistant-touch-control-black-/p/272061,Received wrong product please replace order
1,"pTron Bassbuds Air 140318669 TWS Earbuds with Passive Noise Cancellation (IPX4 Water Resistant, Touch Control, Black)","According to the price, these earbuds are of very good quality, sound quality and battery backup is very good",3.7,599.0,https://www.croma.com/ptron-bassbuds-air-140318669-tws-earbuds-with-passive-noise-cancellation-ipx4-water-resistant-touch-control-black-/p/272061,According price  earbuds good quality  sound quality battery backup good
2,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)","Product is great, service is great",4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Product great  service great
3,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Voice quality is bad. Noise cancellation not available,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Voice quality bad  Noise cancellation available
4,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",The product is Very good and all the facilities communication skills is better than other stores,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,product good facilities communication skills better stores
5,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Nice product,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Nice product
6,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",The product is working good. Your collection and service was also good. I looked the product.,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,product working good  collection service also good  looked product 
7,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)","Nice, good",4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Nice  good
8,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Bestest,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Bestest
9,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Good experience,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Good experience
10,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Good product,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Good product
11,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Very nice product,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,nice product
12,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Very nice,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,nice
13,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Good,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Good
14,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Good. Tiny design,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Good  Tiny design
15,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Good and excellent,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Good excellent
16,"boAt Airdopes 148 TWS Earbuds (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",Good ,4.5,1299.0,https://www.croma.com/boat-airdopes-148-tws-earbuds-ipx4-sweat-water-resistant-42-hours-playtime-cyan-cider-/p/247657,Good
17,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Product is good,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,Product good
18,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Excellent work,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,Excellent work
19,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Amazing product,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,Amazing product
20,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Good.,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,Good 
21,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",I am very happy,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,happy
22,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)",Nice dealing,4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,Nice dealing
23,"realme Techlife RMA2109 Earbuds with AI Environment Noise Cancellation (IPX5 Water Resistant, Google Fast Pair, Black)","Very good quality, as we expected worth for money",4.7,1499.0,https://www.croma.com/realme-techlife-rma2109-earbuds-with-ai-environment-noise-cancellation-ipx5-water-resistant-google-fast-pair-black-/p/261151,good quality  expected worth money
