Product Name,Review
"Apple iPhone 14 (128GB, Blue)",Could be better
"Apple iPhone 14 (128GB, Blue)",Good
"Apple iPhone 14 (128GB, Blue)",Nice price and good service
"Apple iPhone 14 (128GB, Blue)",Good 5
"Apple iPhone 14 (128GB, Blue)",Great product and service.
"Apple iPhone 14 (128GB, Blue)",So far good
"Apple iPhone 14 (128GB, Blue)",Great product
"Apple iPhone 14 (128GB, Blue)",Great
"Apple iPhone 14 (128GB, Blue)",It was good
"Apple iPhone 14 (128GB, Blue)",Its great and thanks to the customer care guy Mr Seikh who helped us thoroughly to choose the right product. Thumbs up to team Croma
"Apple iPhone 14 (128GB, Blue)",Nice experience
"Apple iPhone 14 (128GB, Blue)",Very nice
"Apple iPhone 14 (128GB, Blue)",Very good
"Apple iPhone 14 (128GB, Blue)",Phone heats up while charging
"Apple iPhone 14 (128GB, Blue)",Great experience
"Apple iPhone 14 (128GB, Blue)",Wonderful
"Apple iPhone 14 (128GB, Blue)",Its a good product
"Apple iPhone 14 (128GB, Blue)",Satisfied
"Apple iPhone 14 (128GB, Blue)",Nice shopping experience. Got the best price.
"Apple iPhone 14 (128GB, Blue)",It was great.
"Apple iPhone 14 (128GB, Blue)",Excellent
"Apple iPhone 14 (128GB, Blue)",Good experience
"Apple iPhone 14 (128GB, Blue)",Good dealing
"Apple iPhone 14 (128GB, Blue)",Good for me
"Apple iPhone 14 (128GB, Blue)",Very good performance
"Apple iPhone 14 (128GB, Blue)",Good experience to purchase
"Apple iPhone 14 (128GB, Blue)",Great Product
"Apple iPhone 14 (128GB, Blue)",Ok good
"Apple iPhone 14 (128GB, Blue)",Got the best deal
"Apple iPhone 14 (128GB, Blue)",Its a very good product.
"Apple iPhone 14 (128GB, Starlight)",Thank you to Mr. Amit for helping and giving a good deal
"Apple iPhone 14 (128GB, Starlight)",Great
"Apple iPhone 14 (128GB, Starlight)",All good
"Apple iPhone 14 (128GB, Starlight)",Very good
"Apple iPhone 14 (128GB, Starlight)",Not good
"Apple iPhone 14 (128GB, Starlight)",Good experience great deal
"Apple iPhone 14 (128GB, Starlight)",good to use
"Apple iPhone 14 (128GB, Starlight)",Product was amazing
"Apple iPhone 14 (128GB, Starlight)",Best service. I am Happy
"Apple iPhone 14 (128GB, Starlight)",Very good product
"Apple iPhone 14 (128GB, Starlight)",Excellent
"Apple iPhone 14 (128GB, Starlight)",Good experience
"Apple iPhone 14 (128GB, Starlight)",Buying experience was good
"Apple iPhone 14 (128GB, Starlight)",Amazing experience
"Apple iPhone 14 (128GB, Starlight)",Excellent product
"Apple iPhone 14 (128GB, Starlight)",Great deal
"Apple iPhone 14 (128GB, Starlight)",Nice work
"Apple iPhone 14 (128GB, Starlight)",Good product and very good service by Sagar Agrawal
"Apple iPhone 14 (128GB, Starlight)",Its a very good product and Croma is nice place to purchase electronics and very supportive staff.
"Apple iPhone 14 (128GB, Starlight)",It's very bad
"Apple iPhone 14 (128GB, Starlight)",Superb
"Apple iPhone 14 (128GB, Starlight)",Nice
"Apple iPhone 14 (128GB, Starlight)",Nice product
"Apple iPhone 14 (128GB, Starlight)",Good all
"Apple iPhone 14 (128GB, Starlight)",Nice product and best service
"Apple iPhone 14 (128GB, Starlight)",The product is so good
"Apple iPhone 14 (128GB, Starlight)",Great it was
"Apple iPhone 14 (128GB, Starlight)",Very good job
"Apple iPhone 14 (128GB, Starlight)",Very Good
"Apple iPhone 14 (128GB, Starlight)",Love it!
"Apple iPhone 14 (128GB, Purple)",The product is excellent
"Apple iPhone 14 (128GB, Purple)",Its too good phone
"Apple iPhone 14 (128GB, Purple)",The product is good and the service was good too.
"Apple iPhone 14 (128GB, Purple)",Product is very good. We were assisted by Nithya in Croma Mogapair west ( Wavin) branch. She was very sweet and answered all of our questions.
"Apple iPhone 14 (128GB, Purple)",Super
"Apple iPhone 14 (128GB, Purple)",Product is awesome
"Apple iPhone 14 (128GB, Purple)",amazing phone
"Apple iPhone 14 (128GB, Purple)",Its good
"Apple iPhone 14 (128GB, Purple)",Good response
"Apple iPhone 14 (128GB, Purple)",Fantastic
"Apple iPhone 14 (128GB, Purple)",Very good
"Apple iPhone 14 (128GB, Purple)",Very nice
"Apple iPhone 14 (128GB, Purple)",Amazing and Nice experience.
"Apple iPhone 14 (128GB, Purple)",Best product
